All Indial Institute of Medical Sciences (AIIMS),Audiology,NEET
"Christian Medical College,Vellore(CMC)",Ayurveda,AIIMS
National Institute of Mental Health and Neuro Sciences(NIMHANS),Dentist,PGIMER
Madras Medical College,Electopathy,NIMHANSNEET MDS
M S Ramaiah Medical College,Homeopathy,NEET PG
Krishna Institute of Medical Sciences,Medical Lab Technologist,
Kasthurba Medical College Manipal,Microbiology,
St Johns Medical College,Naturopathy,
Jawaharlal Institute of post graduate Medical Education and Research(JIPMER),Nurse,
Bangalore Medical College and Research Institute,Nutritionist,
Chandigarh University,Opthalmologist,
Amrita School of Medicine,Orthopedics,
Maulana Azad Medical College,Optometry,
Lady Hardinge Medical College,Pthology,
Grant Medical College,Occupational Therapist,
Sri Ramachandra Institute of Higher Education and Research ,Physiotherapist,
Seth G S Medical College,Psychiartist
,Radiologist
,Speech Therapy
,Vetirinary Science
